Cleo Harmony,DPE-DES,0.43,0.00,0.75,0.75,0.31,0.00,0.40,0.00,0.50,0.35
AEM dotcom,DPE-DEC,0.57,0.17,0.50,1.00,0.23,0.50,0.00,0.33,0.67,0.34
AEM In-Product Messaging,DPE-DEC,0.57,0.17,0.50,1.00,0.23,0.25,0.00,0.33,0.67,0.32
Buzzsaw,MCP-Construction,1.00,0.50,0.00,0.25,0.08,0.25,0.27,0.00,0.50,0.32
Qlikview,DPE-DES,1.00,0.00,0.00,0.75,0.46,0.25,0.13,0.33,0.00,0.32
RedRocket,DPE-SPG,0.43,0.50,0.00,1.00,0.08,0.25,0.53,0.00,0.00,0.32
UCM,DPE-DAA,0.57,0.17,1.00,0.44,0.46,0.00,0.00,0.33,0.00,0.32
Digital Help - Forums,DPE-DHX,0.71,0.00,0.50,0.75,0.08,0.00,0.33,0.00,0.33,0.29
Project Fractal,DCP-Building Infrastructure Design,0.29,0.67,0.75,0.25,0.15,0.50,0.00,0.33,0.50,0.29
Contact Center,DPE-DES,0.57,0.00,0.50,1.00,0.38,0.25,0.00,0.00,0.17,0.27
Customer Connect,DPE-DES,0.00,0.33,1.00,0.56,0.00,0.50,0.00,0.00,0.67,0.27
ATF Transcoder Service,MCP-Cloud Platform,0.00,0.50,0.25,0.50,0.15,0.75,0.00,0.00,0.83,0.26
Helius PFA,MCP-Manufacturing,0.14,0.00,0.00,1.00,0.54,0.00,0.13,0.00,0.33,0.26
